age,cgpa,python_score,sql_score,statistics_score,ml_score,dl_score,genai_score,ml_projects,end_to_end_projects,deployed_projects,kaggle_competitions,best_competition_rank,hackathons_attended,hackathons_won,finalist_status,github_projects,internship_months,certifications,ml_interview_score,communication_score,dsa_score,resume_score,mock_interview_score,hackathon_win_rate,hackathon_finalist_rate,has_won_hackathon,deployment_rate,end_to_end_rate,has_deployed_project,has_competed_kaggle,competition_rank_missing,avg_core_skill_score,real_world_exposure,avg_interview_readiness,degree,job_ready,career_track,split
22,7.04,10.0,3.7,4.5,8.3,5.7,4.6,3,3,1,2,241.0,3,0,1,3,3,6.0,0.8,5.6,7.3,3.0,4.5,0.0,0.3333333333333333,0,0.3333333333333333,1.0,1,1,0,6.133333333333334,8,4.24,B.Tech,0,5,train
21,7.94,7.2,9.2,5.0,8.0,5.5,3.6,2,2,2,0,,2,0,0,5,1,3.0,3.2,8.9,7.8,3.7,1.6,0.0,0.0,0,1.0,1.0,1,0,1,6.416666666666667,7,5.040000000000001,B.Tech,0,5,train
21,9.65,5.0,7.8,6.0,5.8,3.9,5.0,1,1,0,0,,3,0,3,2,1,7.0,5.7,6.4,6.5,9.7,5.6,0.0,1.0,0,0.0,1.0,0,0,1,5.583333333333333,2,6.779999999999999,B.Tech,0,5,train
23,8.42,5.1,7.8,10.0,1.0,1.4,4.5,1,1,1,1,474.0,4,1,2,3,3,0.0,3.4,8.2,4.8,7.1,6.1,0.25,0.5,1,1.0,1.0,1,1,0,4.966666666666666,6,5.92,B.Tech,0,5,train
21,8.8,6.7,1.5,8.6,5.6,5.6,3.5,1,1,0,1,91.0,3,0,1,4,2,,0.0,3.7,8.1,6.4,8.1,0.0,0.3333333333333333,0,0.0,1.0,0,1,0,5.25,3,5.260000000000001,B.Tech,0,5,train
25,,7.7,5.5,0.0,4.6,6.1,3.2,4,1,0,1,24.0,2,0,0,1,2,2.0,4.6,8.6,6.6,5.2,2.4,0.0,0.0,0,0.0,0.25,0,1,0,4.516666666666667,3,5.479999999999999,B.Tech,0,5,train
20,6.78,4.7,4.0,5.8,5.9,0.0,4.1,1,1,0,0,,3,1,2,3,1,1.0,1.8,,5.5,4.6,4.1,0.3333333333333333,0.6666666666666666,1,0.0,1.0,0,0,1,4.083333333333333,2,3.9999999999999996,B.Tech,0,5,train
25,9.16,5.3,5.9,7.4,6.4,4.9,4.4,1,1,1,1,481.0,1,0,0,5,4,3.0,3.9,6.2,5.9,,5.3,0.0,0.0,0,1.0,1.0,1,1,0,5.716666666666666,7,5.325,B.Tech,1,2,train
24,6.51,7.8,6.2,6.4,5.5,5.5,7.0,0,0,0,2,96.0,1,0,0,5,2,7.0,2.7,8.2,3.1,4.2,4.0,0.0,0.0,0,0.0,0.0,0,1,0,6.3999999999999995,2,4.4399999999999995,BCA,0,5,train
21,,8.3,7.2,6.7,3.2,4.3,4.5,5,2,0,0,,1,0,0,2,3,1.0,6.4,5.0,6.0,3.6,7.1,0.0,0.0,0,0.0,0.4,0,0,1,5.7,5,5.62,MCA,0,5,train
21,7.25,7.7,5.1,4.0,5.4,0.2,2.7,2,0,0,1,389.0,5,1,2,4,2,5.0,4.5,4.9,6.2,5.1,5.7,0.2,0.4,1,0.0,0.0,0,1,0,4.183333333333334,2,5.28,B.Tech,0,5,train
25,8.18,5.9,7.6,9.3,5.3,4.1,2.4,1,0,0,1,246.0,1,0,0,2,0,4.0,6.5,4.9,4.9,7.3,4.4,0.0,0.0,0,0.0,0.0,0,1,0,5.766666666666667,0,5.6,B.Sc,0,5,train
21,7.75,7.1,8.0,5.0,8.9,7.3,8.1,4,1,0,2,440.0,3,0,1,3,2,3.0,8.1,5.9,5.2,5.6,0.4,0.0,0.3333333333333333,0,0.0,0.25,0,1,0,7.3999999999999995,3,5.039999999999999,B.Tech,1,1,train
24,6.2,5.7,5.7,5.6,5.0,2.5,8.5,1,1,0,2,314.0,4,1,2,6,2,1.0,8.6,5.1,5.3,8.9,4.0,0.25,0.5,1,0.0,1.0,0,1,0,5.5,3,6.38,MCA,1,4,train
24,,4.3,10.0,3.5,5.7,9.5,3.2,4,3,0,3,181.0,4,0,2,4,1,1.0,2.4,8.4,2.8,4.9,7.8,0.0,0.5,0,0.0,0.75,0,1,0,6.033333333333334,4,5.26,B.Tech,1,2,train
22,8.72,8.1,1.1,3.5,2.8,3.8,9.3,2,1,0,3,276.0,3,0,1,2,1,6.0,5.9,6.3,7.5,5.3,3.2,0.0,0.3333333333333333,0,0.0,0.5,0,1,0,4.766666666666667,2,5.64,B.Sc,0,5,train
25,6.5,7.1,6.3,5.7,4.3,2.8,7.5,1,1,1,2,313.0,2,0,0,5,4,0.0,2.6,6.1,6.9,5.4,4.4,0.0,0.0,0,1.0,1.0,1,1,0,5.616666666666667,7,5.08,B.Sc,0,5,train
21,6.76,7.8,2.3,9.5,5.6,5.6,6.6,2,0,0,1,193.0,1,1,1,7,1,1.0,4.7,6.0,3.8,4.0,10.0,1.0,1.0,1,0.0,0.0,0,1,0,6.233333333333334,1,5.7,M.Tech,0,5,train
23,7.08,8.5,3.1,1.9,8.9,4.2,6.0,1,1,0,4,82.0,4,1,2,6,1,1.0,2.0,5.6,6.2,6.2,6.6,0.25,0.5,1,0.0,1.0,0,1,0,5.433333333333333,2,5.32,B.Tech,0,5,train
24,6.61,7.2,7.0,5.6,5.7,0.5,4.7,3,3,1,2,158.0,4,0,1,6,1,1.0,6.2,9.6,4.7,6.6,3.3,0.0,0.25,0,0.3333333333333333,1.0,1,1,0,5.116666666666666,6,6.08,B.Sc,0,5,train
24,7.95,4.1,5.8,3.8,0.5,2.4,4.6,3,0,0,2,265.0,5,1,2,5,2,7.0,6.2,6.3,5.3,4.5,4.1,0.2,0.4,1,0.0,0.0,0,1,0,3.5333333333333328,2,5.279999999999999,MCA,0,5,train
23,6.92,8.3,5.3,5.1,7.4,5.9,2.1,2,0,0,2,206.0,4,0,0,4,2,5.0,6.1,8.7,7.1,6.6,6.1,0.0,0.0,0,0.0,0.0,0,1,0,5.683333333333334,2,6.92,B.Tech,1,1,train
20,6.42,2.9,4.0,5.1,6.1,3.4,8.8,5,1,0,3,87.0,4,1,3,5,1,0.0,2.6,7.5,5.5,2.9,2.6,0.25,0.75,1,0.0,0.2,0,1,0,5.05,2,4.220000000000001,BCA,0,5,train
24,7.75,6.0,4.2,6.3,8.8,3.4,6.5,6,1,1,1,14.0,4,0,1,4,3,3.0,6.1,7.2,2.7,6.8,8.6,0.0,0.25,0,1.0,0.16666666666666666,1,1,0,5.866666666666667,6,6.279999999999999,B.Tech,1,2,train
23,8.32,7.5,6.1,5.5,5.9,5.9,7.5,2,1,0,1,15.0,3,1,2,4,4,1.0,7.9,6.6,4.5,4.8,4.5,0.3333333333333333,0.6666666666666666,1,0.0,0.5,0,1,0,6.3999999999999995,5,5.66,B.Tech,1,1,train
23,7.64,6.1,6.1,3.7,6.2,0.0,3.5,2,0,0,4,180.0,4,0,1,6,2,3.0,7.3,5.6,4.3,5.8,1.6,0.0,0.25,0,0.0,0.0,0,1,0,4.266666666666667,2,4.92,B.Sc,0,5,train
24,8.4,7.1,6.0,6.7,6.0,7.6,3.6,3,2,1,1,340.0,2,0,0,4,1,5.0,4.2,9.3,2.4,4.8,4.8,0.0,0.0,0,0.5,0.6666666666666666,1,1,0,6.166666666666667,5,5.1,B.Tech,0,5,train
22,7.43,5.6,5.8,5.7,6.4,7.1,5.5,2,1,0,1,408.0,2,0,0,5,0,1.0,3.6,,7.5,4.1,5.8,0.0,0.0,0,0.0,0.5,0,1,0,6.016666666666667,1,5.25,MCA,0,5,train
25,7.09,7.4,3.4,3.3,6.9,5.4,2.5,4,1,1,2,496.0,4,0,0,6,2,5.0,6.2,5.2,6.4,3.4,8.5,0.0,0.0,0,1.0,0.25,1,1,0,4.816666666666666,5,5.9399999999999995,MCA,0,5,train
23,7.19,7.6,2.8,4.7,5.9,3.6,3.2,5,2,0,1,265.0,3,0,0,5,2,4.0,5.5,5.4,5.3,3.1,3.6,0.0,0.0,0,0.0,0.4,0,1,0,4.633333333333334,4,4.58,B.Tech,0,5,train
20,9.1,7.8,7.5,7.5,3.5,2.5,3.2,3,0,0,0,,3,1,2,4,2,2.0,5.9,4.3,2.9,3.1,6.2,0.3333333333333333,0.6666666666666666,1,0.0,0.0,0,0,1,5.333333333333333,2,4.4799999999999995,MCA,1,0,train
23,7.66,7.7,5.6,4.5,6.8,3.8,6.3,4,2,2,0,,5,0,1,5,0,3.0,6.1,8.2,7.9,9.0,2.3,0.0,0.2,0,1.0,0.5,1,0,1,5.783333333333334,6,6.7,BCA,1,2,train
25,7.85,5.0,3.6,6.5,8.0,3.8,7.1,4,0,0,0,,2,2,2,8,2,6.0,3.1,8.3,6.4,5.6,7.9,1.0,1.0,1,0.0,0.0,0,0,1,5.666666666666667,2,6.26,B.Tech,0,5,train
20,6.72,7.1,3.8,4.4,2.2,1.5,3.8,2,2,1,3,136.0,3,0,1,4,1,2.0,3.9,8.4,4.5,4.6,3.2,0.0,0.3333333333333333,0,0.5,1.0,1,1,0,3.8000000000000003,5,4.92,B.Tech,1,0,train
20,7.03,6.4,7.1,10.0,1.1,3.2,4.2,4,2,0,2,347.0,3,0,0,4,2,2.0,4.5,4.5,6.7,6.3,3.8,0.0,0.0,0,0.0,0.5,0,1,0,5.333333333333333,4,5.16,B.Tech,0,5,train
20,7.59,6.3,4.2,6.3,4.4,4.1,5.0,1,0,0,2,82.0,2,0,2,12,4,3.0,5.0,,3.6,7.5,6.0,0.0,1.0,0,0.0,0.0,0,1,0,5.050000000000001,4,5.525,MCA,1,1,train
22,7.51,6.3,4.1,2.8,5.3,0.0,7.7,2,0,0,0,,0,0,0,5,0,4.0,0.5,9.4,3.1,7.7,7.3,0.0,0.0,0,0.0,0.0,0,0,1,4.366666666666666,0,5.6,B.Tech,0,5,train
25,6.81,5.2,7.0,7.1,4.5,4.3,3.6,4,1,0,2,68.0,3,0,1,2,3,2.0,3.9,8.2,5.8,5.1,6.4,0.0,0.3333333333333333,0,0.0,0.25,0,1,0,5.283333333333333,4,5.88,B.Tech,1,1,train
25,7.73,7.5,2.8,4.9,3.7,7.2,4.7,2,0,0,1,321.0,2,0,0,4,2,2.0,5.9,5.0,5.3,6.9,7.0,0.0,0.0,0,0.0,0.0,0,1,0,5.133333333333334,2,6.0200000000000005,B.Sc,0,5,train
25,7.42,5.4,5.4,3.1,5.7,5.9,4.2,2,2,1,0,,3,0,2,5,1,2.0,6.0,5.7,5.1,4.6,7.5,0.0,0.6666666666666666,0,0.5,1.0,1,0,1,4.95,5,5.779999999999999,B.Sc,0,5,train
