student_id,age,degree,cgpa,python_score,sql_score,statistics_score,ml_score,dl_score,genai_score,ml_projects,end_to_end_projects,deployed_projects,kaggle_competitions,best_competition_rank,hackathons_attended,hackathons_won,finalist_status,github_projects,internship_months,certifications,ml_interview_score,communication_score,dsa_score,resume_score,mock_interview_score,job_ready,career_track
S100000,20,M.Tech,9.54,6.7,8.5,5.4,5.3,5.0,7.3,4,0,0,0,,4,0,1,3,1,1.0,8.4,,7.1,5.5,8.7,0,5
S100001,23,B.Tech,6.57,6.8,7.9,4.6,4.9,3.3,4.6,2,1,0,2,437.0,5,1,2,4,1,1.0,7.7,6.0,7.3,6.1,4.8,0,5
S100002,24,MCA,7.56,10.0,6.7,5.2,5.5,0.2,2.2,3,0,0,1,161.0,0,0,0,2,0,3.0,8.2,7.5,6.3,5.7,7.3,0,5
S100003,23,B.Sc,6.44,4.2,3.1,4.5,5.8,4.8,4.5,2,0,0,1,55.0,4,1,1,3,2,3.0,7.1,4.7,4.6,5.9,7.1,0,5
S100004,22,B.Tech,6.8,6.5,3.1,5.8,2.3,2.4,5.8,1,1,0,0,,5,0,2,4,2,2.0,4.4,4.6,4.2,8.6,7.3,0,5
S100005,24,BCA,6.93,7.0,6.9,9.3,6.7,3.2,4.8,3,0,0,0,,4,0,2,4,1,2.0,7.8,5.7,4.8,3.8,6.7,0,5
S100006,22,M.Tech,6.55,5.2,3.1,4.9,4.9,5.6,1.6,0,0,0,1,273.0,1,1,1,2,4,2.0,6.9,7.1,5.4,6.6,7.3,0,5
S100007,24,M.Tech,6.55,6.6,5.3,6.1,8.3,7.6,9.1,2,1,0,1,100.0,4,0,2,1,1,5.0,4.3,8.4,2.0,4.3,2.8,0,5
S100008,22,B.Tech,7.37,3.6,6.4,9.5,7.0,4.4,7.2,2,1,1,2,336.0,3,0,0,6,4,2.0,4.5,6.9,3.5,9.5,8.8,1,0
S100009,20,B.Tech,6.4,9.0,3.5,4.4,8.1,5.7,4.3,1,1,1,1,183.0,0,0,0,3,6,,5.3,10.0,8.0,6.2,2.2,1,3
S100010,23,B.Tech,8.26,5.3,3.8,9.1,3.8,1.3,4.4,3,0,0,4,123.0,5,1,3,5,0,4.0,7.7,5.3,5.9,3.7,6.4,0,5
S100011,20,BCA,6.67,10.0,5.6,5.5,5.1,5.0,5.8,3,1,1,0,,4,1,2,2,1,3.0,5.7,7.8,8.0,5.6,5.7,1,4
S100012,25,B.Sc,10.0,6.4,6.8,9.1,3.3,4.4,2.5,4,1,0,0,,0,0,0,0,2,4.0,5.5,4.5,7.5,3.4,4.5,1,0
S100013,23,MCA,7.09,8.4,7.9,7.0,4.4,7.2,5.7,3,1,1,1,245.0,1,0,0,1,6,3.0,5.2,9.4,4.9,4.9,3.8,1,4
S100014,22,B.Tech,7.56,6.4,7.0,6.1,8.3,3.3,2.1,1,1,0,0,,1,1,1,7,1,4.0,4.8,8.9,4.9,7.1,6.9,0,5
S100015,22,B.Tech,6.33,6.4,5.9,5.4,8.8,4.0,4.8,1,1,1,0,,1,0,0,7,1,6.0,3.2,7.8,7.4,8.5,7.4,1,3
S100016,23,B.Sc,9.04,5.4,4.3,4.3,3.5,6.8,2.4,0,0,0,0,,0,0,0,3,1,4.0,7.1,3.4,7.0,7.9,5.6,0,5
S100017,21,B.Tech,8.51,6.7,3.7,5.7,4.9,4.3,2.5,4,4,0,1,437.0,3,0,0,3,2,4.0,3.5,7.8,7.5,5.8,5.2,1,2
S100018,21,MCA,7.77,7.1,4.8,7.3,5.6,2.1,8.6,3,1,0,2,481.0,2,0,1,1,5,1.0,5.6,5.0,5.5,7.0,8.4,1,4
S100019,22,B.Sc,6.29,5.1,6.6,5.5,7.0,10.0,5.1,4,2,1,1,111.0,3,0,2,1,0,3.0,4.7,7.3,5.8,7.5,5.0,1,3
S100020,21,M.Tech,7.69,6.3,6.5,4.9,2.3,2.1,5.5,3,2,0,1,217.0,1,0,0,5,2,2.0,7.0,3.9,5.0,10.0,5.7,1,2
S100021,24,B.Tech,6.49,5.4,1.6,5.0,2.6,4.4,0.6,2,2,2,2,169.0,1,0,0,2,2,6.0,4.8,7.0,5.4,4.9,5.4,0,5
S100022,20,BCA,8.82,10.0,4.2,7.5,6.8,5.3,3.7,4,0,0,0,,4,1,2,6,4,3.0,3.5,5.9,4.1,8.7,10.0,1,1
S100023,24,MCA,8.23,6.3,8.2,8.0,1.9,5.1,6.0,0,0,0,0,,3,0,1,3,1,6.0,7.5,5.1,5.4,4.0,4.1,0,5
S100024,22,M.Tech,7.59,9.3,6.0,4.2,4.9,4.1,5.4,2,1,1,2,445.0,0,0,0,2,1,1.0,3.8,7.6,5.2,8.1,7.5,0,5
S100025,23,B.Tech,5.31,6.1,3.0,4.2,6.1,4.1,0.3,2,2,0,0,,1,0,0,2,0,1.0,5.8,6.4,4.6,4.9,2.4,0,5
S100026,20,B.Tech,6.61,7.0,10.0,6.3,6.6,4.0,5.5,4,2,0,1,257.0,2,0,0,4,1,1.0,8.0,6.1,7.1,4.8,3.9,1,0
S100027,22,B.Tech,8.12,4.1,5.7,8.6,5.5,2.0,5.8,0,0,0,1,59.0,5,1,2,2,1,3.0,4.0,7.8,2.7,5.5,5.2,0,5
S100028,24,B.Tech,8.59,5.7,6.6,7.8,5.1,9.2,7.8,3,2,1,6,165.0,1,0,1,6,1,3.0,5.3,9.9,6.2,4.6,5.5,1,0
S100029,21,B.Sc,8.5,6.9,6.6,3.0,7.5,4.0,3.6,5,1,1,0,,0,0,0,4,0,5.0,4.6,7.0,3.7,6.8,5.3,1,4
S100030,20,M.Tech,6.07,9.4,5.1,5.0,6.4,5.8,0.1,3,0,0,0,,2,0,0,6,3,5.0,5.8,3.2,3.8,8.2,5.6,0,5
S100031,23,BCA,7.77,6.9,4.3,3.6,4.5,3.8,2.8,2,2,0,2,395.0,3,1,2,4,1,3.0,5.4,3.7,4.0,2.2,4.4,0,5
