student_id,age,gender,cgpa,attendance_percentage,backlogs,coding_score,aptitude_score,communication_score,technical_score,projects_count,major_projects,internships_count,internship_months,certifications_count,hackathons_participated,hackathons_won,coding_platform_score,github_projects,linkedin_score,resume_score,soft_skills_score,leadership_score,extracurricular_score,training_hours,mock_interview_score,preferred_domain,placed
STU107218,21,Male,5.75,77.1,0,29.3,39.9,83.0,24.3,0,0,2,8.6,5,0,0,533,0,67.8,58.8,87.5,47.7,59.1,43.8,75.8,Data Science,0
STU108292,23,Male,7.14,,0,61.7,63.4,55.3,49.0,4,1,1,3.5,1,1,0,943,5,53.5,77.8,77.9,71.2,34.5,102.3,70.8,Business Analytics,0
STU104608,23,Male,7.68,76.0,0,51.6,59.6,46.3,43.3,4,1,1,5.0,3,0,0,487,4,63.6,65.5,55.9,44.3,51.5,96.1,70.8,Business Analytics,0
STU105115,24,Male,6.07,75.8,1,24.0,47.5,75.0,65.1,3,0,0,0.0,2,1,0,619,3,65.7,59.8,75.6,90.9,54.4,118.5,91.1,Software Development,0
STU101860,20,Male,7.97,74.0,1,33.1,47.4,58.1,64.4,1,0,2,9.9,2,0,0,377,2,75.3,30.6,73.9,45.0,83.0,59.6,77.0,Business Analytics,0
STU109584,20,Male,6.81,83.2,0,46.3,36.0,68.3,15.0,3,2,1,2.6,1,1,1,955,4,63.9,69.3,67.1,54.6,60.6,180.0,69.5,Software Development,0
STU109829,20,Male,8.23,72.8,0,63.6,59.6,60.0,59.4,4,1,0,1.3,4,1,0,469,5,55.1,80.3,69.7,64.5,59.7,60.0,73.4,Software Development,0
STU109864,22,Male,7.77,100.0,1,52.1,58.4,66.4,71.9,2,0,1,3.3,1,2,0,569,1,70.5,64.5,74.5,44.7,44.8,87.9,83.3,Cloud Computing,0
STU109992,20,Female,6.51,79.7,1,44.6,43.5,49.7,59.7,1,0,0,0.0,1,2,0,579,1,73.1,57.6,77.4,51.2,73.1,59.9,75.7,AI/ML,0
STU105909,22,Male,5.97,85.6,0,35.0,50.2,,26.2,3,0,1,3.9,1,2,0,497,2,76.3,70.6,85.3,42.5,58.8,12.8,69.3,Software Development,1
STU103015,23,Female,8.19,70.2,1,75.8,52.0,41.2,52.1,2,2,4,15.3,3,0,0,1096,2,78.3,51.6,51.9,51.3,67.1,71.1,65.9,Data Science,0
STU105081,21,Male,7.42,93.0,2,43.0,58.5,62.8,56.5,2,0,0,0.0,2,3,1,709,2,61.8,38.4,73.0,52.7,61.5,36.5,80.2,Software Development,0
STU108398,22,Female,7.12,78.1,1,43.0,21.2,99.6,63.8,3,1,3,14.6,0,1,0,387,3,67.1,58.4,82.6,54.6,77.4,160.2,82.2,Cyber Security,0
